Date,Time,Magnitude,Epicenter
B.S:2072-2-13A.D:2015-05-27,Local:17:48UTC:12:03 PM,4.2,Dolakha
B.S:2072-2-13A.D:2015-05-27,Local:19:00UTC:1:15 PM,4.5,Sindhupalchowk
B.S:2072-2-13A.D:2015-05-27,Local:19:01UTC:1:16 PM,4.6,Sindhupalchowk
B.S:2072-2-13A.D:2015-05-27,Local:04:14UTC:10:29 PM,4.2,Nuwakot
B.S:2072-2-12A.D:2015-05-26,Local:04:37UTC:10:52 PM,5.0,Rasuwa
B.S:2072-2-12A.D:2015-05-26,Local:01:45UTC:8:00 PM,4.3,Lalitpur
B.S:2072-2-12A.D:2015-05-26,Local:00:24UTC:6:39 PM,4.1,Dolakha
B.S:2072-2-12A.D:2015-05-26,Local:19:56UTC:2:11 PM,4.3,Dolakha
B.S:2072-2-12A.D:2015-05-26,Local:23:33UTC:5:48 PM,4.1,Dolakha
B.S:2072-2-11A.D:2015-05-25,Local:09:08UTC:3:23 AM,5.0,Gorkha
B.S:2072-2-11A.D:2015-05-25,Local:16:45UTC:11:00 AM,4.1,Dolakha
B.S:2072-2-11A.D:2015-05-25,Local:04:01UTC:10:16 PM,4.4,Dolakha
B.S:2072-2-10A.D:2015-05-24,Local:12:51UTC:7:06 AM,4.2,Dolakha
B.S:2072-2-10A.D:2015-05-24,Local:16:23UTC:10:38 AM,4.4,Dolakha
B.S:2072-2-10A.D:2015-05-24,Local:17:31UTC:11:46 AM,4.2,Sindhupalchowk
B.S:2072-2-10A.D:2015-05-24,Local:18:40UTC:12:55 PM,4.4,Dolakha
B.S:2072-2-10A.D:2015-05-24,Local:05:00UTC:11:15 PM,4.3,Dolakha
B.S:2072-2-9A.D:2015-05-23,Local:04:11UTC:10:26 PM,4.4,Sindhupalchok
B.S:2072-2-9A.D:2015-05-23,Local:18:59UTC:1:14 PM,4.2,Dolakha
B.S:2072-2-8A.D:2015-05-22,Local:20:30UTC:2:45 PM,4.2,Nuwakot
B.S:2072-2-8A.D:2015-05-22,Local:22:29UTC:4:44 PM,4.8,Nuwakot
B.S:2072-2-8A.D:2015-05-22,Local:23:15UTC:5:30 PM,4.1,Dolakha
B.S:2072-2-8A.D:2015-05-22,Local:00:34UTC:6:49 PM,4.0,Sindhupalchowk
B.S:2072-2-8A.D:2015-05-22,Local:02:29UTC:8:44 PM,4.1,Dolakha
B.S:2072-2-8A.D:2015-05-22,Local:00:52UTC:7:07 PM,4.8,Humla
B.S:2072-2-7A.D:2015-05-21,Local:01:15UTC:7:30 PM,4.0,Dhading
B.S:2072-2-7A.D:2015-05-21,Local:20:41UTC:2:56 PM,4.0,Nuwakot
B.S:2072-2-7A.D:2015-05-21,Local:19:56UTC:2:11 PM,4.2,Dolakha
B.S:2072-2-6A.D:2015-05-20,Local:16:55UTC:11:10 AM,4.2,Dolakha
B.S:2072-2-6A.D:2015-05-20,Local:20:32UTC:2:47 PM,4.4,Lalitput
B.S:2072-2-5A.D:2015-05-19,Local:22:29UTC:4:44 PM,4.2,Sindhupalchowk
B.S:2072-2-5A.D:2015-05-19,Local:17:14UTC:11:29 AM,4.0,Sindhupalchowk
B.S:2072-2-5A.D:2015-05-19,Local:10:19UTC:4:34 AM,4.3,Dolakha
B.S:2072-2-4A.D:2015-05-18,Local:17:09UTC:11:24 AM,4.0,Dolakha
B.S:2072-2-4A.D:2015-05-18,Local:00:12UTC:6:27 PM,4.1,Dhading
B.S:2072-2-4A.D:2015-05-18,Local:14:56UTC:9:11 AM,4.2,Dolakha
B.S:2072-2-3A.D:2015-05-17,Local:10:45UTC:5:00 AM,4.4,Dolakha
B.S:2072-2-3A.D:2015-05-17,Local:17:15UTC:11:30 AM,4.6,Ramechhap
B.S:2072-2-3A.D:2015-05-17,Local:02:25UTC:8:40 PM,4.4,Dolakha
B.S:2072-2-2A.D:2015-05-16,Local:08:00UTC:2:15 AM,4.0,Gorkha
B.S:2072-2-2A.D:2015-05-16,Local:10:13UTC:4:28 AM,4.1,Dolakha
B.S:2072-2-2A.D:2015-05-16,Local:10:23UTC:4:38 AM,4.1,Dolakha
B.S:2072-2-2A.D:2015-05-16,Local:11:56UTC:6:11 AM,4.0,Nuwakot
B.S:2072-2-2A.D:2015-05-16,Local:12:16UTC:6:31 AM,4.0,Gorkha
B.S:2072-2-2A.D:2015-05-16,Local:15:09UTC:9:24 AM,4.2,Sindhupalchowk
B.S:2072-2-2A.D:2015-05-16,Local:15:20UTC:9:35 AM,4.2,Lalitpur
B.S:2072-2-2A.D:2015-05-16,Local:23:04UTC:5:19 PM,5.5,Dolakha
B.S:2072-2-2A.D:2015-05-16,Local:02:29UTC:8:44 PM,4.3,Dolakha
B.S:2072-2-1A.D:2015-05-15,Local:09:23UTC:3:38 AM,4.1,Dolakha
B.S:2072-2-1A.D:2015-05-15,Local:09:51UTC:4:06 AM,4.3,Dolakha
B.S:2072-2-1A.D:2015-05-15,Local:13:12UTC:7:27 AM,5.5,Dhading
B.S:2072-2-1A.D:2015-05-15,Local:16:36UTC:10:51 AM,4.0,Dhading
B.S:2072-2-1A.D:2015-05-15,Local:20:54UTC:3:09 PM,4.5,Dolakha
B.S:2072-2-1A.D:2015-05-15,Local:04:43UTC:10:58 PM,4.0,Dolakha
B.S:2072-1-31A.D:2015-05-14,Local:09:08UTC:3:23 AM,5.0,Dolakha
B.S:2072-1-31A.D:2015-05-14,Local:14:37UTC:8:52 AM,4.0,Sindupalchok
B.S:2072-1-31A.D:2015-05-14,Local:14:51UTC:9:06 AM,4.5,Dolakha
B.S:2072-1-31A.D:2015-05-14,Local:21:05UTC:3:20 PM,4.2,Dolakha
B.S:2072-1-31A.D:2015-05-14,Local:01:28UTC:7:43 PM,4.0,Dolakha
B.S:2072-1-31A.D:2015-05-14,Local:02:06UTC:8:21 PM,4.5,Rasuwa
B.S:2072-1-31A.D:2015-05-14,Local:02:35UTC:8:50 PM,4.0,Dolakha
B.S:2072-1-31A.D:2015-05-14,Local:03:25UTC:9:40 PM,4.0,Sindhupalchowk
B.S:2072-1-31A.D:2015-05-14,Local:08:58UTC:3:13 AM,4.1,Dolakha
B.S:2072-1-31A.D:2015-05-14,Local:06:01UTC:12:16 AM,4.3,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:03:21UTC:9:36 PM,4.1,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:07:52UTC:2:07 AM,4.2,Kathmandu
B.S:2072-1-30A.D:2015-05-13,Local:08:55UTC:3:10 AM,5.9,Dhading
B.S:2072-1-30A.D:2015-05-13,Local:10:23UTC:4:38 AM,4.3,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:13:53UTC:8:08 AM,4.4,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:14:13UTC:8:28 AM,4.4,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:16:18UTC:10:33 AM,4.6,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:17:56UTC:12:11 PM,4.7,Sindhupalchok
B.S:2072-1-30A.D:2015-05-13,Local:18:07UTC:12:22 PM,4.8,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:18:19UTC:12:34 PM,4.6,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:03:06UTC:9:21 PM,4.0,Kavrepalanchok
B.S:2072-1-30A.D:2015-05-13,Local:22:29UTC:4:44 PM,4.5,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:09:27UTC:3:42 AM,4.2,Sindhupalchok
B.S:2072-1-30A.D:2015-05-13,Local:21:22UTC:3:37 PM,4.0,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:20:15UTC:2:30 PM,4.3,Dolakha
B.S:2072-1-30A.D:2015-05-13,Local:18:23UTC:12:38 PM,5.1,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:19:36UTC:1:51 PM,5.1,Sindhupalchok
B.S:2072-1-29A.D:2015-05-12,Local:19:51UTC:2:06 PM,5.2,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:19:54UTC:2:09 PM,5.0,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:20:04UTC:2:19 PM,4.8,Sindhupalchok
B.S:2072-1-29A.D:2015-05-12,Local:20:05UTC:2:20 PM,4.7,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:20:09UTC:2:24 PM,4.7,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:20:32UTC:2:47 PM,4.7,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:19:31UTC:1:46 PM,4.3,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:19:18UTC:1:33 PM,4.8,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:19:13UTC:1:28 PM,5.0,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:18:47UTC:1:02 PM,5.8,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:20:29UTC:2:44 PM,5.3,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:19:43UTC:1:58 PM,5.3,Sindhupalchok
B.S:2072-1-29A.D:2015-05-12,Local:19:06UTC:1:21 PM,6.2,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:18:35UTC:12:50 PM,6.8,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:07:53UTC:2:08 AM,4.1,Gorkha
B.S:2072-1-29A.D:2015-05-12,Local:05:52UTC:12:07 AM,4.0,Dhading
B.S:2072-1-29A.D:2015-05-12,Local:20:59UTC:3:14 PM,4.2,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:21:14UTC:3:29 PM,4.2,Sindhupalchok
B.S:2072-1-29A.D:2015-05-12,Local:04:58UTC:11:13 PM,4.3,Ramechhap
B.S:2072-1-29A.D:2015-05-12,Local:04:02UTC:10:17 PM,4.2,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:00:32UTC:6:47 PM,4.4,Sindhupalchok
B.S:2072-1-29A.D:2015-05-12,Local:02:58UTC:9:13 PM,4.8,Tibet
B.S:2072-1-29A.D:2015-05-12,Local:02:29UTC:8:44 PM,4.1,Tibet
B.S:2072-1-29A.D:2015-05-12,Local:01:27UTC:7:42 PM,4.4,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:01:13UTC:7:28 PM,4.3,Sindhupalchok
B.S:2072-1-29A.D:2015-05-12,Local:00:38UTC:6:53 PM,4.0,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:23:58UTC:6:13 PM,4.7,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:23:28UTC:5:43 PM,4.3,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:22:51UTC:5:06 PM,4.6,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:22:36UTC:4:51 PM,4.7,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:22:11UTC:4:26 PM,4.4,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:22:05UTC:4:20 PM,5.0,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:22:01UTC:4:16 PM,4.2,Dolakha
B.S:2072-1-29A.D:2015-05-12,Local:21:45UTC:4:00 PM,4.8,Ramechhap
B.S:2072-1-29A.D:2015-05-12,Local:21:34UTC:3:49 PM,4.4,Dolakha
B.S:2072-1-28A.D:2015-05-11,Local:02:20UTC:8:35 PM,4.2,Sindhupalchowk
B.S:2072-1-28A.D:2015-05-11,Local:05:39UTC:11:54 PM,4.0,Sindhupalchowk
B.S:2072-1-27A.D:2015-05-10,Local:21:08UTC:3:23 PM,4.2,kavre
B.S:2072-1-27A.D:2015-05-10,Local:16:53UTC:11:08 AM,4.0,Rasuwa
B.S:2072-1-27A.D:2015-05-10,Local:08:29UTC:2:44 AM,4.0,Udayapur
B.S:2072-1-27A.D:2015-05-10,Local:12:19UTC:6:34 AM,4.4,Sindhupalchowk
B.S:2072-1-27A.D:2015-05-10,Local:07:35UTC:1:50 AM,4.2,Tibet
B.S:2072-1-26A.D:2015-05-09,Local:08:53UTC:3:08 AM,4.1,Rasuwa
B.S:2072-1-25A.D:2015-05-08,Local:20:50UTC:3:05 PM,4.2,Nuwakot
B.S:2072-1-25A.D:2015-05-08,Local:19:17UTC:1:32 PM,4.8,Sindhupalchowk
B.S:2072-1-25A.D:2015-05-08,Local:14:04UTC:8:19 AM,4.2,Sindhupalchowk
B.S:2072-1-25A.D:2015-05-08,Local:12:02UTC:6:17 AM,5.0,Dolakha
B.S:2072-1-25A.D:2015-05-08,Local:08:04UTC:2:19 AM,4.0,Sindhupalchowk
B.S:2072-1-24A.D:2015-05-07,Local:09:26UTC:3:41 AM,4.2,Nuwakot
B.S:2072-1-24A.D:2015-05-07,Local:13:41UTC:7:56 AM,4.0,Nuwakot
B.S:2072-1-24A.D:2015-05-07,Local:04:00UTC:10:15 PM,4.0,Nuwakot
B.S:2072-1-23A.D:2015-05-06,Local:04:04UTC:10:19 PM,4.0,Rasuwa
B.S:2072-1-23A.D:2015-05-06,Local:23:47UTC:6:02 PM,4.2,Gorkha
B.S:2072-1-22A.D:2015-05-05,Local:12:24UTC:6:39 AM,4.0,Dhading
B.S:2072-1-22A.D:2015-05-05,Local:22:08UTC:4:23 PM,4.3,Dolakha
B.S:2072-1-22A.D:2015-05-05,Local:22:45UTC:5:00 PM,4.2,Sindhupalchowk
B.S:2072-1-21A.D:2015-05-04,Local:10:44UTC:4:59 AM,4.2,Sindhupalchowk
B.S:2072-1-21A.D:2015-05-04,Local:12:45UTC:7:00 AM,4.3,Dolakha
B.S:2072-1-21A.D:2015-05-04,Local:15:39UTC:9:54 AM,4.2,Nuwakot
B.S:2072-1-21A.D:2015-05-04,Local:16:18UTC:10:33 AM,4.0,Nuwakot
B.S:2072-1-21A.D:2015-05-04,Local:16:21UTC:10:36 AM,4.1,Nuwakot
B.S:2072-1-21A.D:2015-05-04,Local:20:19UTC:2:34 PM,4.7,Dolakha
B.S:2072-1-21A.D:2015-05-04,Local:21:25UTC:3:40 PM,4.4,Sindhupalchowk
B.S:2072-1-21A.D:2015-05-04,Local:19:02UTC:1:17 PM,4.0,Gorkha
B.S:2072-1-21A.D:2015-05-04,Local:23:47UTC:6:02 PM,4.2,Dolakha
B.S:2072-1-20A.D:2015-05-03,Local:09:14UTC:3:29 AM,4.5,Sindhupalchowk
B.S:2072-1-20A.D:2015-05-03,Local:04:24UTC:10:39 PM,4.0,Dhading
B.S:2072-1-20A.D:2015-05-03,Local:11:32UTC:5:47 AM,4.0,Gorkha
B.S:2072-1-20A.D:2015-05-03,Local:13:45UTC:8:00 AM,4.1,Dhading
B.S:2072-1-20A.D:2015-05-03,Local:16:31UTC:10:46 AM,4.5,Dhading
B.S:2072-1-20A.D:2015-05-03,Local:23:05UTC:5:20 PM,4.9,Nuwakot
B.S:2072-1-20A.D:2015-05-03,Local:00:43UTC:6:58 PM,4.0,Sindhupalchowk
B.S:2072-1-20A.D:2015-05-03,Local:02:12UTC:8:27 PM,4.2,Sindhupalchowk
B.S:2072-1-19A.D:2015-05-02,Local:09:40UTC:3:55 AM,4.2,Sindhupalchowk
B.S:2072-1-19A.D:2015-05-02,Local:11:40UTC:5:55 AM,4.3,Dolakha
B.S:2072-1-19A.D:2015-05-02,Local:15:17UTC:9:32 AM,4.2,Sindhupalchowk
B.S:2072-1-19A.D:2015-05-02,Local:16:58UTC:11:13 AM,4.0,Sindhupalchowk
B.S:2072-1-19A.D:2015-05-02,Local:17:05UTC:11:20 AM,5.1,Gorkha
B.S:2072-1-19A.D:2015-05-02,Local:02:46UTC:9:01 PM,4.1,Dolakha
B.S:2072-1-18A.D:2015-05-01,Local:06:43UTC:12:58 AM,4.2,Dolakha
B.S:2072-1-18A.D:2015-05-01,Local:08:41UTC:2:56 AM,4.0,Kathmandu
B.S:2072-1-18A.D:2015-05-01,Local:16:20UTC:10:35 AM,4.0,Sindhupalchowk
B.S:2072-1-18A.D:2015-05-01,Local:17:13UTC:11:28 AM,4.5,Rasuwa
B.S:2072-1-18A.D:2015-05-01,Local:23:22UTC:5:37 PM,4.0,Dolakha
B.S:2072-1-18A.D:2015-05-01,Local:02:12UTC:8:27 PM,4.2,Sindhupalchowk
B.S:2072-1-18A.D:2015-05-01,Local:05:44UTC:11:59 PM,4.0,Rasuwa
B.S:2072-1-17A.D:2015-04-30,Local:12:07UTC:6:22 AM,4.7,Dhading
B.S:2072-1-17A.D:2015-04-30,Local:14:16UTC:8:31 AM,4.7,Rasuwa
B.S:2072-1-17A.D:2015-04-30,Local:19:14UTC:1:29 PM,4.1,Dolakha
B.S:2072-1-17A.D:2015-04-30,Local:05:04UTC:11:19 PM,4.3,Sindhupalchowk
B.S:2072-1-16A.D:2015-04-29,Local:19:02UTC:1:17 PM,4.0,Nuwakot
B.S:2072-1-16A.D:2015-04-29,Local:10:34UTC:4:49 AM,4.0,Sindhupalchowk
B.S:2072-1-16A.D:2015-04-29,Local:11:39UTC:5:54 AM,4.2,Nuwakot
B.S:2072-1-16A.D:2015-04-29,Local:21:09UTC:3:24 PM,4.5,Dhading
B.S:2072-1-16A.D:2015-04-29,Local:22:57UTC:5:12 PM,4.5,Sindhupalchowk
B.S:2072-1-16A.D:2015-04-29,Local:04:46UTC:11:01 PM,4.4,Gorkha
B.S:2072-1-15A.D:2015-04-28,Local:06:29UTC:12:44 AM,4.8,Gorkha
B.S:2072-1-15A.D:2015-04-28,Local:08:44UTC:2:59 AM,4.2,Sindhupalchowk
B.S:2072-1-15A.D:2015-04-28,Local:08:57UTC:3:12 AM,4.2,Sindhupalchowk
B.S:2072-1-15A.D:2015-04-28,Local:09:56UTC:4:11 AM,4.2,Gorkha
B.S:2072-1-15A.D:2015-04-28,Local:10:50UTC:5:05 AM,4.9,Sindhupalchok
B.S:2072-1-15A.D:2015-04-28,Local:13:30UTC:7:45 AM,4.2,Dolakha
B.S:2072-1-15A.D:2015-04-28,Local:14:25UTC:8:40 AM,4.0,Sindhupalchowk
B.S:2072-1-15A.D:2015-04-28,Local:17:53UTC:12:08 PM,4.0,Sindhupalchowk
B.S:2072-1-15A.D:2015-04-28,Local:20:55UTC:3:10 PM,4.0,Sindhupalchowk
B.S:2072-1-15A.D:2015-04-28,Local:22:29UTC:4:44 PM,4.0,Nuwakot
B.S:2072-1-15A.D:2015-04-28,Local:22:48UTC:5:03 PM,4.2,Sindhupalchowk
B.S:2072-1-15A.D:2015-04-28,Local:03:52UTC:10:07 PM,4.0,Gorkha
B.S:2072-1-14A.D:2015-04-27,Local:10:12UTC:4:27 AM,4.4,Sindhupalchowk
B.S:2072-1-14A.D:2015-04-27,Local:10:02UTC:4:17 AM,4.5,Kavrepalanchowk
B.S:2072-1-14A.D:2015-04-27,Local:10:00UTC:4:15 AM,4.2,Kavrepalanchowk
B.S:2072-1-14A.D:2015-04-27,Local:09:22UTC:3:37 AM,4.1,Kathmandu
B.S:2072-1-14A.D:2015-04-27,Local:06:24UTC:12:39 AM,4.5,Rasuwa
B.S:2072-1-14A.D:2015-04-27,Local:12:09UTC:6:24 AM,4.7,Nuwakot
B.S:2072-1-14A.D:2015-04-27,Local:14:03UTC:8:18 AM,4.2,Kavrepalanchowk
B.S:2072-1-14A.D:2015-04-27,Local:15:44UTC:9:59 AM,4.3,Rasuwa
B.S:2072-1-14A.D:2015-04-27,Local:05:15UTC:11:30 PM,4.0,Dhading
B.S:2072-1-14A.D:2015-04-27,Local:04:24UTC:10:39 PM,4.2,Sindhupalchowk
B.S:2072-1-14A.D:2015-04-27,Local:03:21UTC:9:36 PM,4.5,Kathmandu
B.S:2072-1-14A.D:2015-04-27,Local:21:02UTC:3:17 PM,4.0,Nuwakot
B.S:2072-1-14A.D:2015-04-27,Local:15:50UTC:10:05 AM,4.0,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:08:34UTC:2:49 AM,4.0,Gorkha
B.S:2072-1-13A.D:2015-04-26,Local:10:46UTC:5:01 AM,5.5,Nuwakot
B.S:2072-1-13A.D:2015-04-26,Local:11:10UTC:5:25 AM,4.0,Kathmandu
B.S:2072-1-13A.D:2015-04-26,Local:11:11UTC:5:26 AM,4.5,Dolakha
B.S:2072-1-13A.D:2015-04-26,Local:11:17UTC:5:32 AM,4.0,Rasuwa
B.S:2072-1-13A.D:2015-04-26,Local:11:45UTC:6:00 AM,4.0,Kathmandu
B.S:2072-1-13A.D:2015-04-26,Local:12:01UTC:6:16 AM,4.0,Nuwakot
B.S:2072-1-13A.D:2015-04-26,Local:14:28UTC:8:43 AM,4.5,Gorkha
B.S:2072-1-13A.D:2015-04-26,Local:08:02UTC:2:17 AM,4.8,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:08:37UTC:2:52 AM,4.8,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:05:59UTC:12:14 AM,4.1,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:06:28UTC:12:43 AM,4.6,Kathmandu
B.S:2072-1-13A.D:2015-04-26,Local:07:14UTC:1:29 AM,4.1,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:07:34UTC:1:49 AM,4.0,Rasuwa
B.S:2072-1-13A.D:2015-04-26,Local:07:37UTC:1:52 AM,4.2,Gorkha
B.S:2072-1-13A.D:2015-04-26,Local:07:41UTC:1:56 AM,4.4,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:07:53UTC:2:08 AM,4.0,Rasuwa
B.S:2072-1-13A.D:2015-04-26,Local:07:59UTC:2:14 AM,4.3,Gorkha
B.S:2072-1-13A.D:2015-04-26,Local:14:40UTC:8:55 AM,5.1,Nuwakot
B.S:2072-1-13A.D:2015-04-26,Local:14:51UTC:9:06 AM,5.0,Kavre
B.S:2072-1-13A.D:2015-04-26,Local:02:02UTC:8:17 PM,4.0,Nuwakot
B.S:2072-1-13A.D:2015-04-26,Local:02:14UTC:8:29 PM,4.5,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:02:27UTC:8:42 PM,4.5,Gorkha
B.S:2072-1-13A.D:2015-04-26,Local:03:32UTC:9:47 PM,4.0,Dolakha
B.S:2072-1-13A.D:2015-04-26,Local:03:53UTC:10:08 PM,4.0,Kathmandu
B.S:2072-1-13A.D:2015-04-26,Local:03:55UTC:10:10 PM,5.3,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:04:27UTC:10:42 PM,4.0,Dolakha
B.S:2072-1-13A.D:2015-04-26,Local:05:36UTC:11:51 PM,4.2,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:00:53UTC:7:08 PM,4.0,Dolakha
B.S:2072-1-13A.D:2015-04-26,Local:00:41UTC:6:56 PM,5.0,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:16:20UTC:10:35 AM,4.5,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:16:28UTC:10:43 AM,4.8,Gorkha
B.S:2072-1-13A.D:2015-04-26,Local:18:39UTC:12:54 PM,6.9,Dolakha
B.S:2072-1-13A.D:2015-04-26,Local:18:57UTC:1:12 PM,5.3,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:19:07UTC:1:22 PM,5.0,Tibet
B.S:2072-1-13A.D:2015-04-26,Local:20:10UTC:2:25 PM,4.8,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:20:16UTC:2:31 PM,4.5,Sindhupalchowk
B.S:2072-1-13A.D:2015-04-26,Local:21:12UTC:3:27 PM,4.5,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:15:15UTC:09:30,5.5,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:21:13UTC:3:28 PM,4.6,Rasuwa
B.S:2072-1-12A.D:2015-04-25,Local:21:53UTC:4:08 PM,4.1,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:16:25UTC:10:40,4.0,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:16:50UTC:11:05,4.6,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:17:26UTC:11:41,4.1,Rasuwa
B.S:2072-1-12A.D:2015-04-25,Local:18:02UTC:12:17,4.9,Nuwakot
B.S:2072-1-12A.D:2015-04-25,Local:18:29UTC:12:44,5.5,Gorkha
B.S:2072-1-12A.D:2015-04-25,Local:14:48UTC:09:03,5.3,Nuwakot
B.S:2072-1-12A.D:2015-04-25,Local:14:40UTC:08:55,5.7,Kabre
B.S:2072-1-12A.D:2015-04-25,Local:14:14UTC:08:29,5.2,Gorkha
B.S:2072-1-12A.D:2015-04-25,Local:15:28UTC:09:43,4.6,Rasuwa
B.S:2072-1-12A.D:2015-04-25,Local:16:08UTC:10:23,4.1,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:11:56UTC:06:11,7.6,Gorkha
B.S:2072-1-12A.D:2015-04-25,Local:12:30UTC:06:45,6.6,Gorkha
B.S:2072-1-12A.D:2015-04-25,Local:12:41UTC:06:56,5.7,Rasuwa
B.S:2072-1-12A.D:2015-04-25,Local:12:53UTC:07:08,5.3,Rasuwa
B.S:2072-1-12A.D:2015-04-25,Local:14:02UTC:08:17,5.2,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:14:05UTC:08:20,5.1,Dhading
B.S:2072-1-12A.D:2015-04-25,Local:19:15UTC:13:30,4.7,Rasuwa
B.S:2072-1-12A.D:2015-04-25,Local:19:38UTC:13:53,4.1,Nuwakot
B.S:2072-1-12A.D:2015-04-25,Local:05:25UTC:11:40 PM,4.0,Rasuwa
B.S:2072-1-12A.D:2015-04-25,Local:05:31UTC:11:46 PM,4.1,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:12:23UTC:06:38,5.5,Tibet
B.S:2072-1-12A.D:2015-04-25,Local:13:32UTC:07:47,5.1,Tibet
B.S:2072-1-12A.D:2015-04-25,Local:05:12UTC:11:27 PM,5.6,Tibet
B.S:2072-1-12A.D:2015-04-25,Local:18:24UTC:12:39,4.5,Dolakha
B.S:2072-1-12A.D:2015-04-25,Local:01:06UTC:7:21 PM,4.9,Dolakha
B.S:2072-1-12A.D:2015-04-25,Local:02:06UTC:8:21 PM,4.5,Dolakha
B.S:2072-1-12A.D:2015-04-25,Local:05:10UTC:11:25 PM,4.0,Nuwakot
B.S:2072-1-12A.D:2015-04-25,Local:05:09UTC:11:24 PM,4.0,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:05:04UTC:11:19 PM,4.1,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:04:16UTC:10:31 PM,4.0,Nuwakot
B.S:2072-1-12A.D:2015-04-25,Local:03:57UTC:10:12 PM,5.3,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:02:47UTC:9:02 PM,4.2,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:02:21UTC:8:36 PM,4.4,Rasuwa
B.S:2072-1-12A.D:2015-04-25,Local:02:10UTC:8:25 PM,5.0,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:01:53UTC:8:08 PM,4.1,Rasuwa
B.S:2072-1-12A.D:2015-04-25,Local:01:40UTC:7:55 PM,4.7,Sindhupalchowk
B.S:2072-1-12A.D:2015-04-25,Local:01:32UTC:7:47 PM,4.1,Kathmandu
B.S:2072-1-10A.D:2015-04-23,Local:07:42UTC:1:57 AM,4.1,Kaski
B.S:2072-1-9A.D:2015-04-22,Local:12:59UTC:7:14 AM,4.5,Jajarkot
B.S:2072-1-8A.D:2015-04-21,Local:01:37UTC:7:52 PM,5.1,Jajarkot
B.S:2071-11-2A.D:2015-02-14,Local:04:36UTC:10:51 PM,4.5,Bhojpur
B.S:2071-10-17A.D:2015-01-31,Local:01:29UTC:7:44 PM,5.5,Kaski
